WARD,maori_prostate_cancer,maori_breast_cancer,maori_lung_cancer,maori_male_all_cancer_40-69,maori_female_all_cancer_45-69,maori_all_cancer_18+,non-maori_prostate_cancer,non-maori_breast_cancer,non-maori_lung_cancer,non-maori_male_all_cancer_40-69,non-maori_female_all_cancer_45-69,non-maori_all_cancer_18+
Ahuriri Ward,S,S,6,18,18,48,72,48,54,186,186,684
Albany Ward,24,24,27,93,96,261,606,687,537,1827,1827,7575
Albert-Eden-Roskill Ward,27,39,60,117,117,393,417,531,447,1431,1431,5616
Alexandra Ward,S,S,S,6,9,21,33,48,42,108,108,483
Amberley Ward,S,S,S,S,S,12,21,24,24,54,54,288
Amuri-Hurunui Ward,S,S,S,S,S,18,27,12,15,63,63,183
Aramoana-Ruahine Ward,S,S,S,18,18,36,45,33,30,114,114,297
Area Outside Ward,231,402,546,837,837,2994,2031,1911,2022,5655,5658,23481
Arrowtown Ward,S,S,S,S,S,9,18,12,9,36,36,126
Ashburton Ward,S,S,12,15,15,54,93,66,102,267,267,1185
Awaroa ki Tuakau Ward,9,12,9,36,36,93,51,39,42,132,132,459
Balclutha Ward,S,S,S,S,S,15,27,27,30,84,84,366
Banks Peninsula Ward,S,S,S,12,15,30,57,48,33,165,165,519
Bay of Islands-Whangaroa Ward,33,45,51,117,117,384,141,120,120,402,402,1413
Blenheim Ward,9,12,18,33,33,117,132,87,156,339,339,1566
Bream Bay Ward,6,9,6,21,24,81,57,51,66,165,165,639
Bruce Ward,S,S,S,6,6,18,21,15,15,60,60,219
Bulls Ward,S,S,S,S,S,15,12,12,12,27,27,117
Burwood Ward,6,9,21,33,33,96,138,102,105,351,351,1317
Cambridge Ward,S,12,15,24,21,81,111,93,87,267,267,1116
Cashmere Ward,6,S,6,18,18,45,105,96,72,276,276,1167
Catlins Ward,S,S,S,S,S,S,12,S,S,21,21,60
Central Ward,9,18,27,57,57,180,186,174,207,567,570,2334
Cheviot Ward,S,S,S,S,S,S,15,S,9,27,24,87
Clinton Ward,S,S,S,S,S,6,6,S,S,12,15,33
Clutha Valley Ward,S,S,S,S,S,S,6,S,S,15,15,45
Coast Ward,S,9,21,21,21,69,S,S,S,S,S,27
Coastal Ward,S,9,6,27,27,72,120,111,105,327,324,1203
